% Model,cochlear_microphone PVDF piezo.mph
% Version,COMSOL 5.5.0.306
% Date,"Jul 30 2020, 23:20"
% Table,Charge Frequency Response - charge top plane
% freq (Hz),"Electric displacement field, z component (C)",abs(es.Dz) (C)
17022.76076404752,1.7910398954571287E-17,1.791497615512983E-17
17419.271799121594,1.651424318541131E-17,1.6520068208156455E-17
17825.01876267492,1.4981278753181007E-17,1.4988475177756032E-17
18240.216787118195,1.3292205548900637E-17,1.3302053255032364E-17
18665.086015939814,1.1423938396530229E-17,1.2127842845810269E-17
19099.851720428742,9.348629431846948E-18,1.1859288783794878E-17
19544.744419116225,7.032371133599693E-18,1.2152017603210458E-17
20000.000000000004,4.433450974356849E-18,1.2949852302072372E-17
20465.859845615076,1.4999656130827349E-18,1.4253183445959113E-17
20942.570961017973,-1.8334975540811644E-18,1.6094790144875797E-17
21430.386104752142,-5.650565298545574E-18,1.8536239154980007E-17
21929.563922863705,-1.0059898672443507E-17,2.1668868447935508E-17
22440.369086039263,-1.5205324609308507E-17,2.56250073527343E-17
22963.072429937685,-2.1281322477798366E-17,3.058706694176792E-17
23497.95109879061,-2.855748705807929E-17,3.681541850166573E-17
24045.288692348266,-3.741868321013517E-17,4.469047790298693E-17
24605.375416247625,-4.843404697762536E-17,5.4773764690480786E-17
25178.508235883328,-6.248229203763097E-17,6.79362999909463E-17
25764.99103386265,-8.099536844168663E-17,8.56059831055634E-17
26365.134771128152,-1.0647524847993808E-16,1.1028266914963053E-16
26979.257651833068,-1.437230921157601E-16,1.467606664344914E-16
27607.685292057737,-2.032681833478543E-16,2.055708391271633E-16
28250.75089245511,-3.135418521244611E-16,3.1512640932108837E-16
28908.795414918564,-5.87053004100418E-16,5.879479797210835E-16
29582.16776336415,-2.4125795080063662E-15,2.4128211221562872E-15
30271.22496872415,1.4019831254383436E-15,1.4019831254383436E-15
30976.332378249597,5.856286625028461E-16,5.856286625028461E-16
31697.863849222285,3.860861410169997E-16,3.860861410169997E-16
32436.2019471786,2.9602098094658E-16,2.9602098094658E-16
33191.73814875127,2.4476109427269836E-16,2.4476109427269836E-16
33964.87304923493,2.116907669852823E-16,2.116907669852823E-16
34756.01657498753,1.885994531353943E-16,1.885994531353943E-16
35565.58820077846,1.7157103407462044E-16,1.7157103407462044E-16
36394.01717219966,1.5850072482794246E-16,1.5850072482794246E-16
37241.74273325732,1.4815629221930426E-16,1.4815629221930426E-16
38109.21435926497,1.3976829033793728E-16,1.3976829033793728E-16
38996.89199516091,1.3283138002794631E-16,1.3283138002794631E-16
39905.246299377664,1.269999008941425E-16,1.269999008941425E-16
40834.75889339064,1.2202935191912097E-16,1.2202935191912097E-16
41785.922617080825,1.177418407087077E-16,1.177418407087077E-16
42759.24179004465,1.1400477739646956E-16,1.1400477739646956E-16
43755.23247899104,1.1071724430768739E-16,1.1071724430768739E-16
44774.422771366764,1.0780099496910793E-16,1.0780099496910793E-16
45817.35305535541,1.0519434418898648E-16,1.0519434418898648E-16
46884.57630639846,1.0284791782995597E-16,1.0284791782995597E-16
47976.6583803898,1.007216301181318E-16,1.007216301181318E-16
49094.17831370068,9.878248980095173E-17,9.878248980095173E-17
50237.72863019165,9.700297650666618E-17,9.700297650666618E-17
51407.9156553773,9.535981549845254E-17,9.535981549845254E-17
52605.359837907636,9.383303366613469E-17,9.383303366613469E-17
53830.69607853828,9.240521495204881E-17,9.240521495204881E-17
55084.57406676327,9.106089582512385E-17,9.106089582512385E-17
56367.65862528911,8.978605625335251E-17,8.978605625335251E-17
57680.630062532124,8.856767008640984E-17,8.856767008640984E-17
59024.18453332781,8.739328322689707E-17,8.739328322689707E-17
60399.03440804039,8.625058819713418E-17,8.625058819713418E-17
61805.90865027185,8.512695951137816E-17,8.512695951137816E-17
63245.55320336759,8.400890431788337E-17,8.400890431788337E-17
64718.73138592563,8.288136377002318E-17,8.288136377002318E-17
66226.22429651816,8.172676658003184E-17,8.172676658003184E-17
67768.83122784055,8.052367523966894E-17,8.052367523966894E-17
69347.37009050635,7.924475368290154E-17,7.924475368290154E-17
70962.67784671522,7.785357212717438E-17,7.785357212717438E-17
72615.61095402036,7.629933934877553E-17,7.629933934877553E-17
74307.04581943457,7.450775020589657E-17,7.450775020589657E-17
76037.87926411226,7.236408055759667E-17,7.236408055759667E-17
77809.0289988561,6.967954493837361E-17,6.967954493837361E-17
79621.4341106994,6.611768672345173E-17,7.034240566945548E-17
81476.05556082245,6.101162793259142E-17,7.729226686522889E-17
83373.8766940671,5.2821267623198504E-17,9.414685130795065E-17
85315.90376031853,3.6997912958148575E-17,1.343210309220979E-16
87303.16644803331,-8.412605384735915E-18,2.635225553983045E-16
89336.7184301927,-2.0610707825053367E-15,6.413426319887691E-15
91417.63792297505,1.8387257366473057E-16,3.2598787251950783E-16
