Freq	Mag Phase
3.77419023647154e+003	5.22023517686917e+001  8.02623143128365e+001
3.83699442035518e+003	5.20517833250582e+001  7.98706414533195e+001
3.90084369345430e+003	5.19009064526303e+001  7.94767520201207e+001
3.96575544651264e+003	5.17497144644370e+001  7.90805668205106e+001
4.03174735966357e+003	5.15982004281107e+001  7.86820071738630e+001
4.09883740724565e+003	5.14463571640151e+001  7.82809949412255e+001
4.16704386269832e+003	5.12941772434278e+001  7.78774525564122e+001
4.23638530353908e+003	5.11416529867888e+001  7.74713030586486e+001
4.30688061642351e+003	5.09887764620299e+001  7.70624701267929e+001
4.37854900228941e+003	5.08355394829973e+001  7.66508781151561e+001
4.45140998158662e+003	5.06819336079820e+001  7.62364520909378e+001
4.52548339959387e+003	5.05279501383738e+001  7.58191178732939e+001
4.60078943182403e+003	5.03735801174527e+001  7.53988020740450e+001
4.67734858951935e+003	5.02188143293350e+001  7.49754321400327e+001
4.75518172523820e+003	5.00636432980903e+001  7.45489363971232e+001
4.83431003853467e+003	4.99080572870456e+001  7.41192440958557e+001
4.91475508173273e+003	4.97520462982945e+001  7.36862854587240e+001
4.99653876579651e+003	4.95956000724305e+001  7.32499917290763e+001
5.07968336629820e+003	4.94387080885204e+001  7.28102952216109e+001
5.16421152948531e+003	4.92813595643389e+001  7.23671293744382e+001
5.25014627844884e+003	4.91235434568826e+001  7.19204288026723e+001
5.33751101939417e+003	4.89652484631820e+001  7.14701293535093e+001
5.42632954801619e+003	4.88064630214334e+001  7.10161681627379e+001
5.51662605598062e+003	4.86471753124685e+001  7.05584837126242e+001
5.60842513751313e+003	4.84873732615824e+001  7.00970158910982e+001
5.70175179609813e+003	4.83270445407413e+001  6.96317060521662e+001
5.79663145128896e+003	4.81661765711881e+001  6.91624970774570e+001
5.89308994563152e+003	4.80047565264671e+001  6.86893334388062e+001
5.99115355170303e+003	4.78427713358873e+001  6.82121612617676e+001
6.09084897926792e+003	4.76802076884441e+001  6.77309283899335e+001
6.19220338255286e+003	4.75170520372174e+001  6.72455844499312e+001
6.29524436764277e+003	4.73532906042657e+001  6.67560809169564e+001
6.39999999999995e+003	4.71889093860342e+001  6.62623711806885e+001
6.50649881210834e+003	4.70238941592923e+001  6.57644106114229e+001
6.61476981124493e+003	4.68582304876187e+001  6.52621566262469e+001
6.72484248738055e+003	4.66919037284476e+001  6.47555687550677e+001
6.83674682121212e+003	4.65248990406905e+001  6.42446087062957e+001
6.95051329232851e+003	4.63572013929457e+001  6.37292404319727e+001
7.06617288751234e+003	4.61887955723064e+001  6.32094301921222e+001
7.18375710917993e+003	4.60196661937764e+001  6.26851466180896e+001
7.30329798396162e+003	4.58497977103013e+001  6.21563607746314e+001
7.42482807142498e+003	4.56791744234184e+001  6.16230462204976e+001
7.54838047294307e+003	4.55077804945308e+001  6.10851790672495e+001
7.67398884071035e+003	4.53355999568040e+001  6.05427380360386e+001
7.80168738690858e+003	4.51626167276843e+001  5.99957045120726e+001
7.93151089302526e+003	4.49888146220330e+001  5.94440625964806e+001
8.06349471932712e+003	4.48141773658704e+001  5.88877991552905e+001
8.19767481449128e+003	4.46386886107165e+001  5.83269038652219e+001
8.33408772539661e+003	4.44623319485164e+001  5.77613692559976e+001
8.47277060707815e+003	4.42850909271329e+001  5.71911907488766e+001
8.61376123284701e+003	4.41069490663844e+001  5.66163666911060e+001
8.75709800457880e+003	4.39278898746053e+001  5.60368983859977e+001
8.90281996317323e+003	4.37478968657008e+001  5.54527901183343e+001
9.05096679918773e+003	4.35669535766643e+001  5.48640491748152e+001
9.20157886364803e+003	4.33850435855228e+001  5.42706858592630e+001
9.35469717903868e+003	4.32021505296711e+001  5.36727135023161e+001
9.51036345047639e+003	4.30182581245530e+001  5.30701484653484e+001
9.66862007706932e+003	4.28333501826431e+001  5.24630101383678e+001
9.82951016346544e+003	4.26474106326789e+001  5.18513209316623e+001
9.99307753159300e+003	4.24604235390914e+001  5.12351062609795e+001
1.01593667325964e+004	4.22723731215774e+001  5.06143945260470e+001
1.03284230589706e+004	4.20832437747523e+001  4.99892170822614e+001
1.05002925568977e+004	4.18930200878244e+001  4.93596082053992e+001
1.06750220387883e+004	4.17016868642209e+001  4.87256050492287e+001
1.08526590960324e+004	4.15092291411028e+001  4.80872475959317e+001
1.10332521119612e+004	4.13156322086938e+001  4.74445785992714e+001
1.12168502750262e+004	4.11208816293564e+001  4.67976435204776e+001
1.14035035921962e+004	4.09249632563379e+001  4.61464904568529e+001
1.15932629025779e+004	4.07278632521147e+001  4.54911700631355e+001
1.17861798912630e+004	4.05295681062584e+001  4.48317354656963e+001
1.19823071034060e+004	4.03300646527499e+001  4.41682421696782e+001
1.21816979585358e+004	4.01293400866650e+001  4.35007479592274e+001
1.23844067651057e+004	3.99273819801581e+001  4.28293127910030e+001
1.25904887352855e+004	3.97241782976706e+001  4.21539986811889e+001
1.27999999999999e+004	3.95197174102926e+001  4.14748695862711e+001
1.30129976242166e+004	3.93139881092080e+001  4.07919912778783e+001
1.32295396224898e+004	3.91069796181571e+001  4.01054312120257e+001
1.34496849747611e+004	3.88986816048519e+001  3.94152583931298e+001
1.36734936424242e+004	3.86890841912849e+001  3.87215432332041e+001
1.39010265846570e+004	3.84781779628753e+001  3.80243574066725e+001
1.41323457750247e+004	3.82659539763997e+001  3.73237737012706e+001
1.43675142183598e+004	3.80524037666633e+001  3.66198658655327e+001
1.46065959679232e+004	3.78375193518668e+001  3.59127084533875e+001
1.48496561428499e+004	3.76212932376362e+001  3.52023766664108e+001
1.50967609458861e+004	3.74037184196834e+001  3.44889461943003e+001
1.53479776814207e+004	3.71847883850757e+001  3.37724930541576e+001
1.56033747738171e+004	3.69644971120951e+001  3.30530934291741e+001
1.58630217860505e+004	3.67428390686790e+001  3.23308235073293e+001
1.61269894386542e+004	3.65198092094357e+001  3.16057593207151e+001
1.63953496289825e+004	3.62954029712403e+001  3.08779765861038e+001
1.66681754507932e+004	3.60696162674185e+001  3.01475505473752e+001
1.69455412141563e+004	3.58424454805369e+001  2.94145558204173e+001
1.72275224656940e+004	3.56138874538208e+001  2.86790662411013e+001
1.75141960091576e+004	3.53839394812319e+001  2.79411547169273e+001
1.78056399263464e+004	3.51525992962401e+001  2.72008930829139e+001
1.81019335983754e+004	3.49198650593341e+001  2.64583519622948e+001
1.84031577272960e+004	3.46857353443171e+001  2.57136006325568e+001
1.87093943580773e+004	3.44502091234444e+001  2.49667068973333e+001
1.90207269009527e+004	3.42132857514603e+001  2.42177369646391e+001
1.93372401541386e+004	3.39749649486002e+001  2.34667553319014e+001
1.96590203269309e+004	3.37352467826270e+001  2.27138246782108e+001
1.99861550631860e+004	3.34941316499741e+001  2.19590057641825e+001
2.00000000000000e+004	3.34839839374329e+001  2.19272931883520e+001
